Date,Confirmed,Deaths,Recovered,New Cases,New Deaths,New Recovered,Hospitalized,ICU,Free Beds,Free ICU Beds
01.01.2021,306529,5012,251606,6529,12,1606,26338,1219,13662,1281
02.01.2021,312431,5021,253186,5902,9,1580,24783,1197,15217,1303
03.01.2021,319150,5046,253865,6719,25,679,23357,1171,16643,1329
04.01.2021,327467,5056,255970,8317,10,2105,22177,1186,17823,1314
05.01.2021,334665,5058,257711,7198,2,1741,20951,1166,19049,1334
06.01.2021,341008,5089,259315,6343,31,1604,19814,1156,20186,1344
07.01.2021,348695,5112,260174,7687,23,859,18842,1157,21158,1343
08.01.2021,356660,5120,260858,7965,8,684,17954,1168,22046,1332
09.01.2021,364418,5128,262241,7758,8,1383,17106,1176,22894,1324
10.01.2021,371207,5161,263666,6789,33,1425,16205,1147,23795,1353
11.01.2021,379620,5195,264900,8413,34,1234,15494,1161,24506,1339
12.01.2021,386313,5205,266576,6693,10,1676,14713,1137,25287,1363
13.01.2021,394759,5246,267283,8446,41,707,14121,1154,25879,1346
14.01.2021,401645,5268,268235,6886,22,952,13503,1141,26497,1359
15.01.2021,409873,5301,270304,8228,33,2069,12987,1141,27013,1359
16.01.2021,415727,5343,272292,5854,42,1988,12351,1117,27649,1383
17.01.2021,422773,5352,272886,7046,9,594,11822,1105,28178,1395
18.01.2021,430908,5372,274075,8135,20,1189,11409,1104,28591,1396
19.01.2021,438146,5378,274619,7238,6,544,11017,1113,28983,1387
20.01.2021,444571,5419,275664,6425,41,1045,10568,1090,29432,1410
21.01.2021,451761,5469,277423,7190,50,1759,10163,1084,29837,1416
22.01.2021,458622,5478,278275,6861,9,852,9834,1087,30166,1413
23.01.2021,465619,5494,279648,6997,16,1373,9450,1063,30550,1437
24.01.2021,474116,5500,280373,8497,6,725,9181,1075,30819,1425
25.01.2021,482336,5525,280792,8220,25,419,8978,1078,31022,1422
26.01.2021,489830,5549,281361,7494,24,569,8699,1082,31301,1418
27.01.2021,497654,5565,283181,7824,16,1820,8467,1077,31533,1423
28.01.2021,505644,5582,284871,7990,17,1690,8237,1065,31763,1435
29.01.2021,513515,5627,285321,7871,45,450,8096,1086,31904,1414
30.01.2021,520026,5631,286921,6511,4,1600,7877,1077,32123,1423
31.01.2021,525975,5667,288454,5949,36,1533,7589,1053,32411,1447
01.02.2021,532460,5685,289921,6485,18,1467,7430,1050,32570,1450
02.02.2021,539590,5729,291162,7130,44,1241,7276,1041,32724,1459
03.02.2021,545493,5769,292546,5903,40,1384,7026,1019,32974,1481
04.02.2021,551555,5777,293042,6062,8,496,6828,1009,33172,1491
05.02.2021,557263,5784,293647,5708,7,605,6668,1008,33332,1492
06.02.2021,564073,5830,294962,6810,46,1315,6541,1013,33459,1487
07.02.2021,572178,5831,295731,8105,1,769,6452,1012,33548,1488
08.02.2021,579058,5867,297283,6880,36,1552,6392,1023,33608,1477
09.02.2021,586270,5891,297866,7212,24,583,6309,1034,33691,1466
10.02.2021,594202,5918,299901,7932,27,2035,6302,1039,33698,1461
11.02.2021,600872,5945,301049,6670,27,1148,6195,1036,33805,1464
12.02.2021,608440,5983,301771,7568,38,722,6095,1034,33905,1466
13.02.2021,614378,6028,303146,5938,45,1375,5951,1023,34049,1477
14.02.2021,622444,6039,304579,8066,11,1433,5916,1020,34084,1480
15.02.2021,630390,6052,305064,7946,13,485,5880,1020,34120,1480
16.02.2021,637102,6062,306373,6712,10,1309,5810,1014,34190,1486
17.02.2021,644656,6071,307891,7554,9,1518,5780,1028,34220,1472
18.02.2021,651472,6091,309603,6816,20,1712,5737,1027,34263,1473
19.02.2021,659098,6122,311025,7626,31,1422,5766,1036,34234,1464
20.02.2021,665966,6129,311892,6868,7,867,5749,1048,34251,1452
21.02.2021,671947,6138,312475,5981,9,583,5683,1042,34317,1458
22.02.2021,677755,6142,314307,5808,4,1832,5610,1043,34390,1457
23.02.2021,684468,6170,315444,6713,28,1137,5552,1037,34448,1463
24.02.2021,692627,6187,316146,8159,17,702,5568,1036,34432,1464
25.02.2021,698885,6205,317112,6258,18,966,5465,1019,34535,1481
26.02.2021,706422,6247,317997,7537,42,885,5503,1030,34497,1470
27.02.2021,712326,6257,318546,5904,10,549,5428,1024,34572,1476
28.02.2021,720870,6299,319862,8544,42,1316,5508,1039,34492,1461
01.03.2021,726965,6300,320417,6095,1,555,5399,1032,34601,1468
02.03.2021,732710,6343,322534,5745,43,2117,5332,1012,34668,1488
03.03.2021,740561,6374,323659,7851,31,1125,5310,1013,34690,1487
04.03.2021,747656,6386,324727,7095,12,1068,5289,1021,34711,1479
