Datum,Bezirk,Einwohner,Hundekotsackerlspender,Hunde,Hundeparks
01.01.2010,1. Innere Stadt,16465,102,179,1
01.01.2010,2. Leopoldstadt,103233,423,2911,2
01.01.2010,3. Landstraße,90277,399,2374,1
01.01.2010,4. Wieden,33179,79,1414,1
01.01.2010,5. Margareten,54546,304,1392,1
01.01.2010,6. Mariahilf,31342,231,472,1
01.01.2010,7. Neubau,31621,86,1535,1
01.01.2010,8. Josefstadt,25513,86,1023,1
01.01.2010,9. Alsergrund,41316,386,496,1
01.01.2010,10. Favoriten,204279,1342,3724,2
01.01.2010,11. Simmering,106889,199,5269,2
01.01.2010,12. Meidling,97600,786,1814,1
01.01.2010,13. Hietzing,56763,494,1388,1
01.01.2010,14. Penzing,94605,133,1579,1
01.01.2010,15. Rudolfsheim-Fuenfhaus,76707,696,1448,1
01.01.2010,16. Ottakring,104627,842,5028,1
01.01.2010,17. Hernals,57171,454,1001,1
01.01.2010,18. Waehring,52746,167,1049,1
01.01.2010,19. Doebling,72891,152,2506,1
01.01.2010,20. Brigittenau,87216,469,2345,1
01.01.2010,21. Floridsdorf,166709,1514,7689,2
01.01.2010,22. Donaustadt,191119,775,7291,2
01.02.2010,1. Innere Stadt,16465,124,204,1
01.02.2010,2. Leopoldstadt,103233,593,4629,1
01.02.2010,3. Landstraße,90277,256,1067,1
01.02.2010,4. Wieden,33179,76,1480,1
01.02.2010,5. Margareten,54546,205,1114,1
01.02.2010,6. Mariahilf,31342,104,1233,1
01.02.2010,7. Neubau,31621,181,1424,1
01.02.2010,8. Josefstadt,25513,117,528,1
01.02.2010,9. Alsergrund,41316,332,466,1
01.02.2010,10. Favoriten,204279,968,5597,2
01.02.2010,11. Simmering,106889,197,5074,1
01.02.2010,12. Meidling,97600,804,2603,1
01.02.2010,13. Hietzing,56763,349,2460,1
01.02.2010,14. Penzing,94605,372,2144,1
01.02.2010,15. Rudolfsheim-Fuenfhaus,76707,665,3775,1
01.02.2010,16. Ottakring,104627,885,3795,2
01.02.2010,17. Hernals,57171,349,2681,1
01.02.2010,18. Waehring,52746,130,1118,1
01.02.2010,19. Doebling,72891,600,1922,1
01.02.2010,20. Brigittenau,87216,243,1861,1
01.02.2010,21. Floridsdorf,166709,1592,2300,1
01.02.2010,22. Donaustadt,191119,1749,6735,2
01.03.2010,1. Innere Stadt,16465,119,622,1
01.03.2010,2. Leopoldstadt,103233,815,4753,2
01.03.2010,3. Landstraße,90277,468,1207,1
01.03.2010,4. Wieden,33179,112,569,1
01.03.2010,5. Margareten,54546,414,601,1
01.03.2010,6. Mariahilf,31342,157,713,1
01.03.2010,7. Neubau,31621,145,421,1
01.03.2010,8. Josefstadt,25513,176,710,1
01.03.2010,9. Alsergrund,41316,207,773,1
01.03.2010,10. Favoriten,204279,1613,6329,1
01.03.2010,11. Simmering,106889,304,3596,2
01.03.2010,12. Meidling,97600,227,4358,1
01.03.2010,13. Hietzing,56763,328,1766,1
01.03.2010,14. Penzing,94605,96,3825,1
01.03.2010,15. Rudolfsheim-Fuenfhaus,76707,255,3706,1
01.03.2010,16. Ottakring,104627,169,1289,2
01.03.2010,17. Hernals,57171,353,1958,1
01.03.2010,18. Waehring,52746,474,1511,1
01.03.2010,19. Doebling,72891,699,1606,1
01.03.2010,20. Brigittenau,87216,741,1219,1
01.03.2010,21. Floridsdorf,166709,238,4084,1
01.03.2010,22. Donaustadt,191119,762,5714,2
01.04.2010,1. Innere Stadt,16465,138,288,1
01.04.2010,2. Leopoldstadt,103233,782,4669,1
01.04.2010,3. Landstraße,90277,645,2329,1
01.04.2010,4. Wieden,33179,78,971,1
01.04.2010,5. Margareten,54546,324,2585,1
01.04.2010,6. Mariahilf,31342,34,799,1
01.04.2010,7. Neubau,31621,101,531,1
01.04.2010,8. Josefstadt,25513,100,430,1
01.04.2010,9. Alsergrund,41316,346,1516,1
01.04.2010,10. Favoriten,204279,1262,6881,3
01.04.2010,11. Simmering,106889,1029,3509,2
01.04.2010,12. Meidling,97600,518,2817,1
01.04.2010,13. Hietzing,56763,381,1325,1
01.04.2010,14. Penzing,94605,497,3645,1
01.04.2010,15. Rudolfsheim-Fuenfhaus,76707,135,2287,1
01.04.2010,16. Ottakring,104627,966,4241,1
01.04.2010,17. Hernals,57171,395,746,1
01.04.2010,18. Waehring,52746,422,2270,1
01.04.2010,19. Doebling,72891,253,836,1
01.04.2010,20. Brigittenau,87216,653,4206,1
01.04.2010,21. Floridsdorf,166709,783,5719,3
01.04.2010,22. Donaustadt,191119,1546,2273,3
01.05.2010,1. Innere Stadt,16465,58,350,1
